ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION,Community Areas,Historical Wards 2003-2015,Zip Codes,Census Tracts,Wards
2704075-20201113,2704075,464153,1,"VERVE WINE CHICAGO, LLC",VERVE WINE,2349 N LINCOLN AVE 1 A-1-130,CHICAGO,IL,60614,43,29,43-29,18,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2704075,ISSUE,12/04/2019,12/17/2019,12/17/2019,Y,11/13/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,35,41.924818603,-87.647671335,"(41.92481860342548, -87.64767133453772)",68,51,21190,798,34
15195-20201116,2750076,6643,1,STARDUST CASINO INC.,STARDUST,5688 N MILWAUKEE AVE 1ST,CHICAGO,IL,60646,45,27,45-27,16,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,15195,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,41.984983519,-87.776417847,"(41.98498351871542, -87.77641784679408)",11,20,22532,701,50
2630677-20201116,2752855,432060,1,AWAWU B. ADEDIRAN,MADAM HAWA AFRICAN HAIR BRAIDING SALON,4554 N BROADWAY  3RD 329A,CHICAGO,IL,60640,46,20,46-20,19,1010,Limited Business License,894,Hair Services,2630677,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,,,,,,,,
2205847-20201216,2755084,218364,1,COBALT ASSOCIATES INC,COBALT ASSOCIATES INC,2442 W DAKIN ST,CHICAGO,IL,60618,47,9,47-9,19,4404,Regulated Business License,724,Other Home Based Businesses,2205847,RENEW,,10/15/2020,11/12/2020,N,12/16/2020,12/15/2022,11/12/2020,11/13/2020,AAI,,38,41.953188014,-87.690111219,"(41.95318801387216, -87.69011121917332)",46,13,21538,110,18
18862-20201116,2750459,28598,1,TOMMIE WOOD,WOOD'S & SON,1119 N NOBLE ST 1ST,CHICAGO,IL,60642,27,10,27-10,12,1010,Limited Business License,,,18862,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,29,41.902086212,-87.662455357,"(41.9020862115011, -87.66245535748934)",25,41,22620,109,46
2753414-20201113,2753414,470195,1,"HAYWOOD & GALVEZ, LLC","HAYWOOD & GALVEZ, LLC",6234 S LOOMIS BLVD,CHICAGO,IL,60636,16,,16-,,4404,Regulated Business License,738,"Preparation of License, Certificate or Permit Applications For Compensation / Expediter (Home Based Business)",2753414,ISSUE,09/21/2020,09/21/2020,09/22/2020,N,11/13/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,41.780242081,-87.65952536,"(41.780242081265826, -87.6595253603505)",65,19,22257,277,2
2079691-20201116,2751714,356245,1,MAI CHI CORPORATION,MOTT ST.,1401 N ASHLAND AVE 1ST,CHICAGO,IL,60622,2,26,2-26,14,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2079691,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,33,41.90703875,-87.667444076,"(41.90703874954132, -87.66744407587532)",25,24,21560,483,11
2495887-20201116,2752440,411008,1,CULLERTON HVAC,"CULLERTON HVAC, INC.",2031 W SPRING RIDGE DR 1ST,ARLINGTON HTS.,IL,60004,,,,,4404,Regulated Business License,901,"Heating, Ventilation and Air Conditioning Services - Residential",2495887,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,,,,,,,,
2758223-20201113,2758223,471623,1,"HAVEN Home Staging and Redesign, Inc.","HAVEN Home Staging and Redesign, Inc.",317 N FRANCISCO AVE,CHICAGO,IL,60612,27,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2758223,ISSUE,11/12/2020,11/12/2020,11/12/2020,N,11/13/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.887006684,-87.698762825,"(41.88700668376808, -87.69876282465547)",28,41,21184,50,46
27836-20201116,2750193,11380,1,CATERING CONCEPTS CORPORATION,GALA BANQUETS,5639 N MILWAUKEE AVE  NORTH,CHICAGO,IL,60646,45,9,45-9,16,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,27836,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,41.984010866,-87.775172469,"(41.98401086554883, -87.77517246896801)",11,20,22532,701,50
2202277-20201216,2755942,377205,1,JISHUN ZHENG,CHOPSTICK EXPRESS,3237 N HARLEM AVE,CHICAGO,IL,60634,29,8,29-8,16,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2202277,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,,41.939104472,-87.806639115,"(41.93910447186976, -87.80663911532803)",17,39,22254,396,7
1650212-20201216,2755349,299177,1,LOS POTRILLOS FOOD MARKET LLC,LOS POTRILLOS,3624 W BELMONT AVE,CHICAGO,IL,60618,30,33,30-33,17,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1650212,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,,41.939309516,-87.718539941,"(41.93930951600574, -87.718539940519)",22,15,21538,138,21
2496333-20201116,2752491,411311,1,ULTA INC.,ULTA,120 S RIVERSIDE PLZ 15TH 1500,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,602,Administrative Commercial Office,2496333,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.879923306,-87.638802539,"(41.8799233059124, -87.63880253891776)",29,48,14914,786,36
2564433-20201216,2756120,394714,1,"HALSTED C STORE, INC",FALCON FUEL,8247-8259 S HALSTED ST 1ST,CHICAGO,IL,60620,21,4,21-4,6,1275,Filling Station,666,Operation of a Fuel Filling Station,2564433,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,,41.743793659,-87.643697603,"(41.743793659044606, -87.64369760274914)",70,18,21554,529,13
2364276-20201216,2756121,394714,1,"HALSTED C STORE, INC",FALCON FUEL,8247-8259 S HALSTED ST 1ST,CHICAGO,IL,60620,21,4,21-4,6,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2364276,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,,41.743793659,-87.643697603,"(41.743793659044606, -87.64369760274914)",70,18,21554,529,13
2641352-20201216,2756949,454659,1,"8 AVE CERMAK, INC.",8 AVE SNACK SHOP,249 W CERMAK RD 1ST,CHICAGO,IL,60616,25,6,25-6,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2641352,RENEW,,10/15/2020,11/12/2020,N,12/16/2020,12/15/2022,11/12/2020,11/13/2020,AAI,,,41.852716733,-87.633934563,"(41.85271673337672, -87.6339345627447)",35,8,21194,3,26
2757143-20201113,2757143,470834,1,Dumex LLC,Los Mangos,5923 W 63RD ST 1,CHICAGO,IL,60638,13,,13-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2757143,ISSUE,10/16/2020,10/16/2020,10/16/2020,N,11/13/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.777782013,-87.769972577,"(41.77778201293689, -87.76997257726937)",62,23,22268,266,15
2320362-20201116,2750466,29220,1,RAINBO CLUB INC,RAINBO CLUB INC,1150 N DAMEN AVE,CHICAGO,IL,60622,1,3,1-3,12,1050,Public Place of Amusement,744,Provides Onsite Entertainment or Rentals,2320362,RENEW,,09/15/2020,10/20/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,33,41.902868984,-87.677395215,"(41.90286898429872, -87.67739521542943)",25,24,21560,476,41
42314-20201116,2750527,34752,1,COMMUNITYHEALTH NFP,NORTHSIDE COMMUNITY HEALTHCARE,2611 W CHICAGO AVE 1ST,CHICAGO,IL,60622,26,33,26-33,12,1010,Limited Business License,,,42314,RENEW,,09/15/2020,11/06/2020,N,11/16/2020,11/15/2022,11/06/2020,11/13/2020,AAI,,,41.895578288,-87.692276174,"(41.89557828770959, -87.69227617387965)",25,10,21560,545,49
2627025-20201116,2752815,431715,1,URBANITY DANCE CHICAGO LLC,URBANITY DANCE CHICAGO LLC,1611 N SHEFFIELD AVE 3RD,CHICAGO,IL,60614,2,20,2-20,18,1010,Limited Business License,661,Fitness Training On and Off Premise,2627025,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,41.911230778,-87.652975339,"(41.911230777637876, -87.65297533893204)",68,16,22620,168,11
2065345-20201116,2751806,357921,1,"Imperial Auto Sales, LLC",Imperial Auto Sales,"3111-3123 N KNOX AVE 1, 2",CHICAGO,IL,60641,31,32,31-32,25,1010,Limited Business License,,,2065345,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,,,,,,,,
2363611-20201116,2752189,394474,1,CAR 1 AUTO INC.,CAR 1 AUTO INC.,1339 W 51ST ST 1ST,CHICAGO,IL,60609,20,24,20-24,9,8340,Motor Vehicle Services License,712,Motor Vehicle Repair -  Engine and Transmission Work,2363611,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.801286219,-87.659013183,"(41.80128621910015, -87.65901318297632)",59,19,14924,790,4
17406-20201116,2750811,85718,1,"EUROMARKET DESIGNS, INC.",CRATE & BARREL,850-854 W NORTH AVE  1,CHICAGO,IL,60622,2,51,2-51,18,1010,Limited Business License,,,17406,RENEW,,09/15/2020,10/07/2020,N,11/16/2020,11/15/2022,10/07/2020,11/13/2020,AAI,,,41.911002519,-87.649964847,"(41.91100251930657, -87.64996484719597)",68,16,22620,168,11
52747-20201116,2750556,38452,1,"PEOPLES TAX SERVICE, INC",PEOPLES TAX SERVICE INC,1231 N ASHLAND AVE 1ST,CHICAGO,IL,60622,2,37,2-37,14,1010,Limited Business License,197,Tax Preparation Services,52747,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,33,41.904332182,-87.667374786,"(41.90433218186362, -87.6673747860176)",25,24,21560,483,11
2068656-20201216,2755771,358001,1,Spec Furniture Inc.,Spec Furniture Inc.,222 W MERCHANDISE MART PLZ 11TH 11-111B,CHICAGO,IL,60654,42,,42-,,1010,Limited Business License,,,2068656,RENEW,,10/15/2020,11/12/2020,N,12/16/2020,12/15/2022,11/12/2020,11/13/2020,AAI,,,41.888074281,-87.634955203,"(41.8880742810662, -87.63495520292739)",37,22,4446,652,36
1478386-20201116,2751160,273724,1,"CTA FOODS, INC.",MUNICIPAL FOODS,2559 W DIVISION ST,CHICAGO,IL,60622,26,41,26-41,12,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1478386,RENEW,,09/15/2020,10/08/2020,N,11/16/2020,11/15/2022,10/08/2020,11/13/2020,AAI,,,41.902859234,-87.691888584,"(41.90285923421055, -87.69188858431286)",25,10,21560,542,49
2065224-20201116,2751715,356245,1,MAI CHI CORPORATION,MOTT ST.,1401 N ASHLAND AVE 1ST,CHICAGO,IL,60622,2,26,2-26,14,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2065224,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,33,41.90703875,-87.667444076,"(41.90703874954132, -87.66744407587532)",25,24,21560,483,11
2754157-20201113,2754157,470759,1,AQ & RH Burritos Inc,El Gran Burrito Express #3,334 N LARAMIE AVE,CHICAGO,IL,60644,37,,37-,,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2754157,ISSUE,10/14/2020,10/14/2020,10/19/2020,N,11/13/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.886719624,-87.755440206,"(41.88671962393121, -87.7554402062431)",26,11,22216,674,45
12588-20201116,2750068,6090,1,THE BREAKFAST CLUB INC,THE BREAKFAST CLUB INC,1381 W HUBBARD ST,CHICAGO,IL,60642,27,33,27-33,12,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,12588,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.88983286,-87.662167835,"(41.8898328600129, -87.662167834679)",25,41,22620,521,46
27835-20201116,2750194,11380,1,CATERING CONCEPTS CORPORATION,GALA BANQUETS,5639 N MILWAUKEE AVE  NORTH,CHICAGO,IL,60646,45,9,45-9,16,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,27835,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,41.984010866,-87.775172469,"(41.98401086554883, -87.77517246896801)",11,20,22532,701,50
2313741-20200316,2711279,388378,1,"ALDEN INC.,",MR. FALAFEL,6404 N CALIFORNIA AVE,CHICAGO,IL,60645,50,33,50-33,24,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2313741,RENEW,,01/15/2020,02/19/2020,N,03/16/2020,03/15/2022,02/19/2020,11/13/2020,AAI,,43,41.99776376,-87.699795722,"(41.9977637602161, -87.69979572191909)",20,42,4450,40,27
1922228-20201116,2751551,335334,1,"Juko, LLC",Juko,2130 W DIVISION ST 1,CHICAGO,IL,60622,2,3,2-3,14,1010,Limited Business License,895,Nail Services,1922228,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,33,41.903235633,-87.680961111,"(41.90323563306302, -87.6809611112951)",25,16,21560,517,11
2487620-20201016,2747857,409203,1,"QUESADILLAS Y HUARACHES JUMBO, INC.",QUESADILLAS Y HUARACHES JUMBO,2750 W 63RD ST 1ST,CHICAGO,IL,60629,16,24,16-24,8,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2487620,RENEW,,08/15/2020,11/12/2020,N,10/16/2020,10/15/2022,11/12/2020,11/13/2020,AAI,,3,41.779232358,-87.692998334,"(41.779232357598445, -87.6929983339449)",64,44,21867,111,2
1592324-20200316,2710638,289688,1,"MICHIGAN 30, LLC","MICHIGAN 30, LLC",30 N MICHIGAN AVE  2100,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,1592324,RENEW,,01/15/2020,11/13/2020,N,03/16/2020,03/15/2022,11/13/2020,11/13/2020,AAI,,,41.882754629,-87.624535277,"(41.882754628874906, -87.62453527696043)",38,22,14309,580,36
1974203-20200716,2730609,343510,1,KEVINE KIEU DINH,FANTASY NAILS,1704 E 87TH ST 1ST,CHICAGO,IL,60617,8,51,8-51,4,1010,Limited Business License,895,Nail Services,1974203,RENEW,,05/15/2020,06/17/2020,N,07/16/2020,07/15/2022,06/17/2020,11/13/2020,AAI,,50,41.73706834,-87.582493544,"(41.73706833967922, -87.5824935443767)",41,9,21202,431,35
1546792-20201116,2751213,284758,1,"ABBOTT PAINTING COMPANY, INC.","ABBOTT PAINTING COMPANY, INC.",4747 W PETERSON AVE 3 303,CHICAGO,IL,60646,39,20,39-20,17,1010,Limited Business License,,,1546792,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,62,41.989792371,-87.747842562,"(41.98979237059395, -87.74784256216424)",12,28,22532,713,38
2184688-20201216,2755423,311185,1,"STAY, INC.","STAY, INC.",4130 N ROCKWELL ST 1,CHICAGO,IL,60618,47,16,47-16,19,1032,Animal Care License,608,Provide Animal Boarding Services,2184688,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,,41.956758646,-87.69345334,"(41.95675864597287, -87.69345333975946)",46,13,21538,624,18
2631326-20201116,2752968,432414,1,ERIKA ESTRADA,ANTONY'S WESTERN WEAR,3115 W 26TH ST 1 218-219,CHICAGO,IL,60623,12,15,12-15,10,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2631326,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,25,41.844428666,-87.703236873,"(41.844428665779, -87.70323687321932)",32,29,21569,124,1
55812-20201116,2750565,39650,1,ANA CASTELLANOS,INTERAMERICAN CLINICAL SERVICE,2651 W DIVISION ST 1ST,CHICAGO,IL,60622,26,61,26-61,12,1010,Limited Business License,,,55812,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.902841314,-87.693985479,"(41.90284131420934, -87.69398547860399)",25,10,21560,543,49
2359654-20201016,2747594,393915,1,MERY ORTIZ,SEXY GIRLS,3546 W LAWRENCE AVE,CHICAGO,IL,60625,33,22,33-22,17,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2359654,RENEW,,08/15/2020,09/22/2020,N,10/16/2020,10/15/2022,09/22/2020,11/13/2020,AAI,,,41.968466227,-87.717725313,"(41.96846622689973, -87.71772531337457)",14,28,21849,750,20
2589460-20200416,2717320,426346,1,HOSPITALITY 201 LLC,HOSPITALITY 201 LLC,744 N DAMEN AVE 1ST B,CHICAGO,IL,60622,1,32,1-32,12,1010,Limited Business License,904,Retail Sales of General Merchandise,2589460,RENEW,,02/15/2020,10/16/2020,N,04/16/2020,04/15/2022,10/16/2020,11/13/2020,AAI,,29,41.895428997,-87.677185287,"(41.89542899660331, -87.67718528705265)",25,24,21560,547,41
2496260-20201116,2752483,411261,1,FLOOR BY JOHN LLC,FLOOR BY JOHN LLC,4451 W ESTES,LINCOLNWOOD,IL,60712,,,,,4404,Regulated Business License,673,Home Repair Services,2496260,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,,,,,,,,
1873282-20201216,2755347,299177,1,LOS POTRILLOS FOOD MARKET LLC,LOS POTRILLOS,3624 W BELMONT AVE,CHICAGO,IL,60618,30,33,30-33,17,1474,Package Goods,774,Retail Sales of Packaged Liquor,1873282,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,,41.939309516,-87.718539941,"(41.93930951600574, -87.718539940519)",22,15,21538,138,21
2626603-20201016,2748669,431504,1,CARIBBEAN JERK PALACE III LLC,CARIBBEAN JERK PALACE III LLC,10318 S HALSTED ST 1ST,CHICAGO,IL,60628,34,12,34-12,22,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2626603,RENEW,,08/15/2020,10/29/2020,N,10/16/2020,10/15/2022,10/29/2020,11/13/2020,AAI,,45,41.706314638,-87.642961768,"(41.706314637892106, -87.64296176766652)",72,45,21861,595,22
2757561-20201113,2757561,471143,1,D&B Plumbing Inc,D&B Plumbing Inc,4240 N PULASKI RD,CHICAGO,IL,60641,39,,39-,,4404,Regulated Business License,673,Home Repair Services,2757561,ISSUE,10/28/2020,10/28/2020,11/12/2020,N,11/13/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.958483578,-87.727904,"(41.958483578046604, -87.7279040003633)",16,28,22618,269,38
1675356-20201216,2755350,299401,1,SUNG HWAN PARK,COSMO DISCOUNT,6812 S STONY ISLAND AVE,CHICAGO,IL,60649,5,5,5-5,3,1010,Limited Business License,,,1675356,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,42,41.771084286,-87.586418522,"(41.771084285869996, -87.58641852210906)",39,32,22260,416,33
1681875-20201116,2751335,302169,1,TRES JOLIE ART INC,TRES JOLIE ART INC,1837 W GRAND AVE,CHICAGO,IL,60622,27,35,27-35,12,1010,Limited Business License,,,1681875,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.890770132,-87.673505927,"(41.890770132136616, -87.67350592654243)",25,10,21560,519,46
2717686-20201113,2717686,464153,1,"VERVE WINE CHICAGO, LLC",VERVE WINE,2349 N LINCOLN AVE 1 A-1-130,CHICAGO,IL,60614,43,29,43-29,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2717686,ISSUE,02/19/2020,10/05/2020,07/31/2020,N,11/13/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,35,41.924818603,-87.647671335,"(41.92481860342548, -87.64767133453772)",68,51,21190,798,34
15193-20201116,2750075,6643,1,STARDUST CASINO INC.,STARDUST,5688 N MILWAUKEE AVE 1ST,CHICAGO,IL,60646,45,27,45-27,16,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,15193,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,41.984983519,-87.776417847,"(41.98498351871542, -87.77641784679408)",11,20,22532,701,50
2500771-20201216,2756452,411641,1,SILENCER ATHLETICS LLC,SILENCER ATHLETICS,10933 S WESTERN AVE GROUND,CHICAGO,IL,60643,19,40,19-40,22,4404,Regulated Business License,926,Fitness Classes,2500771,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,20,41.694399257,-87.681092805,"(41.69439925650626, -87.68109280520835)",74,33,22212,380,42
58488-20201116,2750573,40711,1,GLOBCARE INC,GLOBCARE INC,4747 W PETERSON AVE  105,CHICAGO,IL,60646,39,20,39-20,17,1010,Limited Business License,,,58488,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,62,41.989792371,-87.747842562,"(41.98979237059395, -87.74784256216424)",12,28,22532,713,38
12587-20201116,2750069,6090,1,THE BREAKFAST CLUB INC,THE BREAKFAST CLUB INC,1381 W HUBBARD ST,CHICAGO,IL,60642,27,33,27-33,12,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,12587,RENEW,,09/15/2020,11/12/2020,N,11/16/2020,11/15/2022,11/12/2020,11/13/2020,AAI,,,41.88983286,-87.662167835,"(41.8898328600129, -87.662167834679)",25,41,22620,521,46
